"","title","city","webside","round","lat","lon"
"1"," Инвестиции101.рф                                ","Санкт-Петербург","http://investments101.ru/","accelerator",59.938732,30.316229
"2","+Голос                                ","Астрахань","http://plus-golos.ru/","accelerator",46.3498308,48.0326203
"3","4brain                                ","Москва","https://4brain.ru/","accelerator",55.7504461,37.6174943
"4","A2 Leasing System                                ","Кострома","https://a2ls.com/index.aspx","accelerator",57.7679158,40.9269141
"5","acm.chat                                ","Екатеринбург","https://acm.chat/","accelerator",56.839104,60.60825
"6","ActiveDesk                                ","Москва","http://www.activedesk.ru/","accelerator",55.7504461,37.6174943
"7","AdWOW                                ","Москва","https://adwow.ru/","accelerator",55.7504461,37.6174943
"8","AgroAI                                ","Москва","http://agro-fly.com/","accelerator",55.7504461,37.6174943
"9","Altair VR                                ","Новосибирск","http://altair360.com","accelerator",55.0282171,82.9234509
"10","amlab.me                                ","Санкт-Петербург","https://amlab.me/","accelerator",59.938732,30.316229
"11","Amplifr                                ","Москва","https://amplifr.com","accelerator",55.7504461,37.6174943
"12","ANgift                                ","Москва","http://angift.ru/","accelerator",55.7504461,37.6174943
"13","AppCoins                                ","Екатеринбург","http://www.appcoins.mobi","accelerator",56.839104,60.60825
"14","AsiaOptom                                ","Магнитогорск","http://asiaoptom.com/","accelerator",53.4242184,58.983136
"15","AuditOnline                                ","Москва","http://auditonline.club/","accelerator",55.7504461,37.6174943
"16","AVE EVA                                ","Кострома","http://aveeva.ru","accelerator",57.7679158,40.9269141
"17","B2B Family                                ","Ульяновск","http://slide-vision.com/","accelerator",54.1463177,47.2324921
"18","Backly                                ","Екатеринбург","http://backly.ru","accelerator",56.839104,60.60825
"19","Bartello                                ","Москва","https://brtl.io/","accelerator",55.7504461,37.6174943
"20","BID Technologies                                ","Ярославль","https://bid.life/ru/","accelerator",57.6263877,39.8933705
"21","Bikedefend                                ","Томск","http://bikedefend.com/","accelerator",58.6124279,82.0475315
"22","bitCalm                                ","Екатеринбург","http://bitcalm.com","accelerator",56.839104,60.60825
"23","BonsoftHRP                                ","Москва","http://bonsoft.org/","accelerator",55.7504461,37.6174943
"24","Bookerson                                ","Москва","http://bookerson.ru/","accelerator",55.7504461,37.6174943
"25","Botmaker                                ","Санкт-Петербург","http://botmakerplatform.com","accelerator",59.938732,30.316229
"26","Botscanner                                ","Москва","http://botscanner.com/","accelerator",55.7504461,37.6174943
"27","Brainify.ru                                ","Томск","http://brainify.ru/","accelerator",58.6124279,82.0475315
"28","Brandquad                                ","Москва","http://brandquad.ru/","accelerator",55.7504461,37.6174943
"29","Buildvisor                                ","Москва","https://buildvisor.io/","accelerator",55.7504461,37.6174943
"30","BusTourPro                                ","Екатеринбург","http://bustourpro.ru/","accelerator",56.839104,60.60825
"31","Callmart                                ","Москва","https://callmart.ru/","accelerator",55.7504461,37.6174943
"32","CargoTech                                ","Москва","http://cargo.tech/ru/","accelerator",55.7504461,37.6174943
"33","Cashee                                ","Архангельск","https://cashee.ru/","accelerator",64.543022,40.537121
"34","CastWeek                                ","Москва","http://castweek.com/","accelerator",55.7504461,37.6174943
"35","CERAmarketing                                ","Санкт-Петербург","http://www.ceramarketing.com","accelerator",59.938732,30.316229
"36","Chibbis                                ",NA,"http://chibbis.ru/","accelerator",NA,NA
"37","Choicy                                ","Москва","http://gochoicy.com/","accelerator",55.7504461,37.6174943
"38","CITYCELEBRITY                                ","Москва","http://www.citycelebrity.ru/","accelerator",55.7504461,37.6174943
"39","Clever Bear                                ","Казань","http://www.cleverbear.ru","accelerator",55.7823547,49.1242266
"40","Click-Storm                                ","Казань","http://click-storm.com/","accelerator",55.7823547,49.1242266
"41","Clicktex                                ","Санкт-Петербург","http://www.clicktex.ru/","accelerator",59.938732,30.316229
"42","CloudPRO                                ","Новосибирск","http://cloud-pro.ru","accelerator",55.0282171,82.9234509
"43","CloudStats                                ","Самара","http://cloudstats.me/","accelerator",53.198627,50.113987
"44","Clumus                                ","Новосибирск","http://clumus.com","accelerator",55.0282171,82.9234509
"45","Codesign.io                                ","Москва","http://www.codesign.io/","accelerator",55.7504461,37.6174943
"46","Combot                                ","Москва","https://combot.org/","accelerator",55.7504461,37.6174943
"47","Command Spot                                ","Москва","http://commandspot.com","accelerator",55.7504461,37.6174943
"48","Consenta                                ","Москва","https://consenta.ru/","accelerator",55.7504461,37.6174943
"49","ContextGen                                ","Краснодар","https://contextgen.ru/","accelerator",45.0352566,38.9764814
"50","Convead                                ","Москва","http://convead.ru/","accelerator",55.7504461,37.6174943
"51","CyberGame.tv                                ","Москва","http://cybergame.tv/","accelerator",55.7504461,37.6174943
"52","DataFuel                                ","Москва","https://datafuel.ru/","accelerator",55.7504461,37.6174943
"53","depo.fm                                ","Новосибирск","http://depo.fm","accelerator",55.0282171,82.9234509
"54","DisFood                                ","Краснодар","https://disfood.ru/","accelerator",45.0352566,38.9764814
"55","DocsInBox                                ","Санкт-Петербург","http://docsinbox.ru/","accelerator",59.938732,30.316229
"56","Dokkur                                ","Тамбов","https://dokkur.com/","accelerator",52.72879,41.45536
"57","Dooglys                                ","Нижний Новгород","http://dooglys.com/","accelerator",56.328571,44.003506
"58","Dr. Tariff                                ","Москва","http://drtariff.com/","accelerator",55.7504461,37.6174943
"59","Dreamroomer                                ","Москва","http://dreamroomer.com","accelerator",55.7504461,37.6174943
"60","DriverPack Solution                                ","Москва","http://drp.su/ru/","accelerator",55.7504461,37.6174943
"61","DriverPack Solution                                ","Москва","http:// drp.su","accelerator",55.7504461,37.6174943
"62","Drop&Ship                                ","Москва","http://dropnship.ru/","accelerator",55.7504461,37.6174943
